SAVED BY: JJ
TITLE: 
COMMENTS: 
DATE: 2/24/2020
TIME: 8:13 PM

STIMULUS, RESPONSE
2.530000E+8,  -1.033386E+0
2.535625E+8,  -1.018494E+0
2.541250E+8,  -1.008118E+0
2.546875E+8,  -1.012329E+0
2.552500E+8,  -9.884033E-1
2.558125E+8,  -1.025513E+0
2.563750E+8,  -1.042664E+0
2.569375E+8,  -1.042786E+0
2.575000E+8,  -1.014282E+0
2.580625E+8,  -1.037354E+0
2.586250E+8,  -9.976501E-1
2.591875E+8,  -9.917603E-1
2.597500E+8,  -1.087158E+0
2.603125E+8,  -1.088501E+0
2.608750E+8,  -1.075623E+0
2.614375E+8,  -1.076599E+0
2.620000E+8,  -1.078857E+0
2.625625E+8,  -1.110229E+0
2.631250E+8,  -1.081360E+0
2.636875E+8,  -1.084961E+0
2.642500E+8,  -1.063110E+0
2.648125E+8,  -1.082825E+0
2.653750E+8,  -1.043701E+0
2.659375E+8,  -1.075623E+0
2.665000E+8,  -1.072632E+0
2.670625E+8,  -1.049866E+0
2.676250E+8,  -1.082031E+0
2.681875E+8,  -1.061157E+0
2.687500E+8,  -1.092163E+0
2.693125E+8,  -1.127197E+0
2.698750E+8,  -1.073425E+0
2.704375E+8,  -1.084473E+0
2.710000E+8,  -1.096130E+0
2.715625E+8,  -1.094910E+0
2.721250E+8,  -1.144531E+0
2.726875E+8,  -1.037292E+0
2.732500E+8,  -1.070923E+0
2.738125E+8,  -1.078735E+0
2.743750E+8,  -1.118713E+0
2.749375E+8,  -1.153992E+0
2.755000E+8,  -1.154053E+0
2.760625E+8,  -1.149719E+0
2.766250E+8,  -1.162537E+0
2.771875E+8,  -1.160095E+0
2.777500E+8,  -1.199341E+0
2.783125E+8,  -1.249634E+0
2.788750E+8,  -1.241211E+0
2.794375E+8,  -1.156433E+0
2.800000E+8,  -1.149902E+0
2.805625E+8,  -1.248474E+0
2.811250E+8,  -1.213867E+0
2.816875E+8,  -1.151611E+0
2.822500E+8,  -1.134460E+0
2.828125E+8,  -1.166199E+0
2.833750E+8,  -1.165771E+0
2.839375E+8,  -1.169250E+0
2.845000E+8,  -1.176575E+0
2.850625E+8,  -1.153503E+0
2.856250E+8,  -1.173035E+0
2.861875E+8,  -1.234375E+0
2.867500E+8,  -1.133240E+0
2.873125E+8,  -1.169189E+0
2.878750E+8,  -1.180725E+0
2.884375E+8,  -1.179321E+0
2.890000E+8,  -1.199341E+0
2.895625E+8,  -1.167114E+0
2.901250E+8,  -1.217773E+0
2.906875E+8,  -1.191956E+0
2.912500E+8,  -1.152893E+0
2.918125E+8,  -1.140442E+0
2.923750E+8,  -1.227356E+0
2.929375E+8,  -1.147217E+0
2.935000E+8,  -1.119080E+0
2.940625E+8,  -1.117432E+0
2.946250E+8,  -1.128845E+0
2.951875E+8,  -1.183167E+0
2.957500E+8,  -1.159973E+0
2.963125E+8,  -1.142456E+0
2.968750E+8,  -1.110962E+0
2.974375E+8,  -1.097900E+0
2.980000E+8,  -1.158081E+0
2.985625E+8,  -1.112610E+0
2.991250E+8,  -1.105286E+0
2.996875E+8,  -1.121094E+0
3.002500E+8,  -1.098267E+0
3.008125E+8,  -1.111755E+0
3.013750E+8,  -1.093506E+0
3.019375E+8,  -1.104980E+0
3.025000E+8,  -1.056946E+0
3.030625E+8,  -1.046875E+0
3.036250E+8,  -1.030579E+0
3.041875E+8,  -1.077515E+0
3.047500E+8,  -1.051819E+0
3.053125E+8,  -1.067017E+0
3.058750E+8,  -1.045776E+0
3.064375E+8,  -1.062744E+0
3.070000E+8,  -1.039612E+0
3.075625E+8,  -9.812927E-1
3.081250E+8,  -1.043030E+0
3.086875E+8,  -1.016357E+0
3.092500E+8,  -1.044678E+0
3.098125E+8,  -9.980164E-1
3.103750E+8,  -9.926453E-1
3.109375E+8,  -9.720154E-1
3.115000E+8,  -1.041443E+0
3.120625E+8,  -9.693909E-1
3.126250E+8,  -9.137573E-1
3.131875E+8,  -9.313049E-1
3.137500E+8,  -1.001038E+0
3.143125E+8,  -9.552917E-1
3.148750E+8,  -9.748535E-1
3.154375E+8,  -9.764099E-1
3.160000E+8,  -9.706726E-1
3.165625E+8,  -9.638977E-1
3.171250E+8,  -9.621277E-1
3.176875E+8,  -1.005676E+0
3.182500E+8,  -9.779358E-1
3.188125E+8,  -1.012817E+0
3.193750E+8,  -9.691162E-1
3.199375E+8,  -1.047241E+0
3.205000E+8,  -9.998474E-1
3.210625E+8,  -9.139099E-1
3.216250E+8,  -9.654541E-1
3.221875E+8,  -9.749146E-1
3.227500E+8,  -9.631042E-1
3.233125E+8,  -9.733887E-1
3.238750E+8,  -9.388428E-1
3.244375E+8,  -9.965820E-1
3.250000E+8,  -9.699402E-1
3.255625E+8,  -1.019043E+0
3.261250E+8,  -9.434509E-1
3.266875E+8,  -9.927368E-1
3.272500E+8,  -9.729919E-1
3.278125E+8,  -9.571838E-1
3.283750E+8,  -1.039490E+0
3.289375E+8,  -1.014465E+0
3.295000E+8,  -1.051392E+0
3.300625E+8,  -1.077881E+0
3.306250E+8,  -1.126709E+0
3.311875E+8,  -1.176392E+0
3.317500E+8,  -1.374390E+0
3.323125E+8,  -1.594910E+0
3.328750E+8,  -1.789917E+0
3.334375E+8,  -2.193604E+0
3.340000E+8,  -2.197754E+0
3.345625E+8,  -1.857727E+0
3.351250E+8,  -1.496155E+0
3.356875E+8,  -1.305908E+0
3.362500E+8,  -1.250610E+0
3.368125E+8,  -1.127380E+0
3.373750E+8,  -1.119263E+0
3.379375E+8,  -1.088196E+0
3.385000E+8,  -1.103394E+0
3.390625E+8,  -1.137817E+0
3.396250E+8,  -1.143433E+0
3.401875E+8,  -1.155334E+0
3.407500E+8,  -1.216248E+0
3.413125E+8,  -1.310791E+0
3.418750E+8,  -1.372925E+0
3.424375E+8,  -1.454285E+0
3.430000E+8,  -1.594666E+0
3.435625E+8,  -1.735657E+0
3.441250E+8,  -1.926941E+0
3.446875E+8,  -2.306152E+0
3.452500E+8,  -2.504395E+0
3.458125E+8,  -2.961548E+0
3.463750E+8,  -3.538574E+0
3.469375E+8,  -4.315186E+0
3.475000E+8,  -5.382812E+0
3.480625E+8,  -6.861328E+0
3.486250E+8,  -9.030762E+0
3.491875E+8,  -1.240625E+1
3.497500E+8,  -1.801367E+1
3.503125E+8,  -2.343945E+1
3.508750E+8,  -1.651855E+1
3.514375E+8,  -1.206299E+1
3.520000E+8,  -9.354980E+0
3.525625E+8,  -7.581543E+0
3.531250E+8,  -6.380859E+0
3.536875E+8,  -5.505371E+0
3.542500E+8,  -4.849854E+0
3.548125E+8,  -4.397461E+0
3.553750E+8,  -4.067871E+0
3.559375E+8,  -3.758667E+0
3.565000E+8,  -3.607788E+0
3.570625E+8,  -3.472290E+0
3.576250E+8,  -3.356201E+0
3.581875E+8,  -3.288696E+0
3.587500E+8,  -3.338379E+0
3.593125E+8,  -3.399048E+0
3.598750E+8,  -3.327271E+0
3.604375E+8,  -3.342896E+0
3.610000E+8,  -3.317017E+0
3.615625E+8,  -3.314209E+0
3.621250E+8,  -3.263306E+0
3.626875E+8,  -3.265259E+0
3.632500E+8,  -3.165405E+0
3.638125E+8,  -3.079468E+0
3.643750E+8,  -2.977417E+0
3.649375E+8,  -2.877808E+0
3.655000E+8,  -2.676392E+0
3.660625E+8,  -2.591553E+0
3.666250E+8,  -2.480957E+0
3.671875E+8,  -2.401245E+0
3.677500E+8,  -2.296997E+0
3.683125E+8,  -2.180786E+0
3.688750E+8,  -2.122803E+0
3.694375E+8,  -2.092896E+0
3.700000E+8,  -1.988831E+0
3.705625E+8,  -1.938171E+0
3.711250E+8,  -1.907104E+0
3.716875E+8,  -1.829529E+0
3.722500E+8,  -1.818481E+0
3.728125E+8,  -1.757751E+0
3.733750E+8,  -1.832764E+0
3.739375E+8,  -1.769104E+0
3.745000E+8,  -1.731140E+0
3.750625E+8,  -1.696350E+0
3.756250E+8,  -1.693726E+0
3.761875E+8,  -1.679687E+0
3.767500E+8,  -1.612183E+0
3.773125E+8,  -1.598938E+0
3.778750E+8,  -1.596497E+0
3.784375E+8,  -1.542969E+0
3.790000E+8,  -1.558716E+0
