FFT Dimension (GHz),Re( Z ) (ohm),Im( Z ) (ohm)
0.027010168,0.0434378088,5.79924297
0.027133502,0.043364808,5.82562256
0.027256836,0.0432865359,5.8520093
0.02738017,0.0432026275,5.87839794
0.027503504,0.0431136563,5.90479326
0.027626838,0.0430194587,5.93119383
0.027750172,0.042918209,5.95760059
0.027873506,0.0428091846,5.98401117
0.02799684,0.0426960811,6.01042652
0.028120174,0.0425805673,6.0368495
0.028243508,0.0424553119,6.06327581
0.028366842,0.0423267633,6.08971024
0.028490176,0.0421890691,6.1161499
0.02861351,0.0420508459,6.14259434
0.028736844,0.0419049822,6.16904593
0.028860178,0.0417545885,6.19550419
0.028983512,0.0415969677,6.22196817
0.029106846,0.0414348468,6.24843836
0.029230182,0.0412671752,6.2749157
0.029353516,0.0410948619,6.30139971
0.02947685,0.0409182906,6.32788944
0.029600184,0.0407336727,6.35438681
0.029723518,0.0405457355,6.38088942
0.029846852,0.0403537638,6.40740061
0.029970186,0.0401556194,6.43391895
0.03009352,0.0399523936,6.46044397
0.030216854,0.0397441052,6.48697519
0.030340188,0.039531678,6.51351547
0.030463522,0.039314229,6.54006243
0.030586856,0.0390903279,6.56661654
0.03071019,0.038864132,6.5931778
0.030833524,0.0386335142,6.61974859
0.030956858,0.0383979231,6.64632463
0.031080192,0.0381549001,6.67291164
0.031203526,0.0379112549,6.69950438
0.03132686,0.0376614556,6.72610617
0.031450194,0.0374067686,6.75271606
0.031573528,0.0371490084,6.77933216
0.031696864,0.0368874595,6.80595589
0.031820198,0.0366205573,6.8325901
0.031943532,0.0363497324,6.85923195
0.032066866,0.0360766016,6.88588428
0.0321902,0.0357972719,6.91254091
0.032313534,0.0355154909,6.93920898
0.032436868,0.0352291502,6.96588755
0.032560202,0.0349410921,6.99256992
0.032683536,0.0346474424,7.01926231
0.03280687,0.0343510546,7.04596567
0.032930204,0.0340508744,7.07267666
0.033053538,0.0337465741,7.09939766
0.033176872,0.0334392264,7.12612772
0.033300206,0.0331288427,7.15286446
0.03342354,0.032816153,7.17961216
0.033546874,0.0324979946,7.20636749
0.033670208,0.0321800075,7.23313284
0.033793544,0.0318569504,7.25990868
0.033916876,0.031532336,7.28669405
0.034040212,0.0312023405,7.31348801
0.034163544,0.0308715142,7.34029055
0.03428688,0.0305377804,7.36710262
0.034410212,0.0302018467,7.39392424
0.034533548,0.0298626907,7.42075682
0.03465688,0.029521022,7.4475975
0.034780216,0.0291785803,7.47444868
0.034903548,0.0288329646,7.50130892
0.035026884,0.0284855664,7.52817869
0.035150216,0.0281339828,7.55505896
0.035273552,0.0277823787,7.58194923
0.035396884,0.027428342,7.60884905
0.03552022,0.0270736068,7.63575745
0.035643556,0.026713388,7.66267586
0.035766888,0.0263548996,7.68960524
0.035890224,0.0259923227,7.71654463
0.036013556,0.0256301351,7.74349356
0.036136892,0.0252676494,7.77045202
0.036260224,0.024900442,7.79742193
0.03638356,0.0245339889,7.8244009
0.036506892,0.0241655707,7.85138893
0.036630228,0.0237962268,7.87838936
0.03675356,0.023424603,7.90539742
0.036876896,0.023053091,7.93241787
0.037000228,0.0226813629,7.95944691
0.037123564,0.0223077331,7.98648739
0.037246896,0.0219332278,8.01353645
0.037370232,0.0215575211,8.04059601
0.037493564,0.0211823154,8.06766605
0.0376169,0.0208069347,8.09474564
0.037740232,0.0204300508,8.12183666
0.037863568,0.0200496633,8.14893723
0.0379869,0.0196748357,8.17604637
